Genotype,,,RP979-1,RP979-2,RP979-3,RP979-4,RP979-5,RP979-6,RP979-7,RP979-8,RP979-9,RP979-10,RP979-11,RP979-12,RP979-13,RP979-14,RP979-15,RP979-16,RP979-17,RP979-18,RP979-19,RP979-20,RP979-21,RP979-22,RP979-23,RP979-24,RP979-25,RP979-26,RP979-27,RP979-28,RP979-29,RP979-30,RP979-31,RP979-32,RP979-33,RP979-34,RP979-35,RP979-36,RP979-37,RP979-38,RP979-39,RP979-40,RP979-41,RP979-42,RP979-43,RP979-44,RP979-45,RP979-46,RP979-47,RP979-48,RP979-49,RP979-50,RP979-51,RP979-52,RP979-53,RP979-54,RP979-55,RP979-56,RP979-57,RP979-58,RP979-59,RP979-60,RP979-61,RP979-62,RP979-63,RP979-64,RP979-65,RP979-66,RP979-67,RP979-68,RP979-69,RP979-70,RP979-71,RP979-72,RP979-73,RP979-74,RP979-75,RP979-76,RP979-77,RP979-78,RP979-79,RP979-80,RP979-81,RP979-82,RP979-83,RP979-84,RP979-85,RP979-86,RP979-87,RP979-88,RP979-89,RP979-90,RP979-91,RP979-92,RP979-93,RP979-94,RP979-95,RP979-96,RP979-97,RP979-98,RP979-99,RP979-100,RP979-101,RP979-102,RP979-103,RP979-104,RP979-105,RP979-106,RP979-107,RP979-108,RP979-109,RP979-110,RP979-111,RP979-112,RP979-113,RP979-114,RP979-115,RP979-116,RP979-117,RP979-118,RP979-119,RP979-120,RP979-121,RP979-122,RP979-123,RP979-124,RP979-125,RP979-126,RP979-127,RP979-128,RP979-129,RP979-130,RP979-131,RP979-132,RP979-133,RP979-134,RP979-135,RP979-136,RP979-137,RP979-138,RP979-139,RP979-140,RP979-141,RP979-142,RP979-143,RP979-144,RP979-145,RP979-146,RP979-147,RP979-148,RP979-149,RP979-150,RP979-151,RP979-152,RP979-153,RP979-154,RP979-155,RP979-156,RP979-157,RP979-158,RP979-159,RP979-160,RP979-161,RP979-162,RP979-163,RP979-164,RP979-165,RP979-166,RP979-167,RP979-168,RP979-169,RP979-170,RP979-171,RP979-172,RP979-173,RP979-174,RP979-175,RP979-176,RP979-177,RP979-178,RP979-179,RP979-180,RP979-181,RP979-182,RP979-183,RP979-184,RP979-185,RP979-186,RP979-187,RP979-188,RP979-189,RP979-190
4A_107617861,4A,50.418,-,B,B,A,-,A,A,B,A,A,B,B,B,A,A,A,A,A,A,A,B,-,A,B,A,B,B,A,B,A,A,A,B,B,-,B,A,-,A,-,B,-,B,A,A,B,B,B,-,B,A,A,A,-,-,B,A,A,-,B,B,B,-,B,-,B,A,B,A,A,B,A,-,B,B,A,B,A,-,A,B,A,B,B,A,A,B,A,A,B,-,A,B,B,A,B,A,B,-,-,B,A,B,B,-,-,B,B,A,-,A,-,-,-,A,-,B,B,B,A,A,B,A,A,-,B,-,B,A,A,-,A,-,-,-,B,A,-,B,-,-,B,-,B,A,-,-,B,A,B,A,A,-,A,A,-,A,A,-,A,B,B,-,A,A,-,A,A,B,B,B,B,B,A,A,-,-,A,-,A,B,B,B,B,B,A,-,A,B,A
4A_108449836,4A,51.556,-,B,B,-,B,A,A,B,A,-,B,B,-,A,-,A,-,-,-,A,B,-,A,-,-,B,-,A,B,A,-,-,B,B,B,B,-,-,-,-,-,B,B,A,A,B,B,-,B,B,A,A,A,-,B,-,A,-,-,B,B,B,A,-,-,B,-,B,A,-,B,A,B,-,-,A,B,A,-,A,B,-,B,-,A,-,B,A,A,B,-,-,B,B,A,-,A,B,-,B,-,A,B,-,B,A,-,-,A,-,-,-,-,-,-,-,B,-,B,-,A,B,-,-,-,B,-,-,A,A,-,-,-,-,-,-,-,-,B,-,-,-,-,B,A,B,-,B,-,-,-,A,-,A,-,B,A,A,A,A,-,B,B,-,-,A,A,A,B,B,B,B,-,A,-,-,A,A,-,A,-,-,B,-,-,-,-,-,-,-
4A_108687744,4A,38.895,-,-,B,A,B,A,-,B,A,A,B,B,B,-,-,A,A,A,A,A,B,-,A,-,A,B,B,A,B,A,A,A,B,B,B,B,A,A,-,B,A,B,B,-,-,B,B,B,B,B,A,-,-,-,B,B,A,A,B,B,B,B,A,B,-,B,A,B,A,A,B,A,-,B,B,A,B,A,B,-,B,A,-,B,-,-,B,-,A,-,A,A,B,B,A,-,-,B,-,B,-,-,B,-,B,A,B,B,A,A,-,-,B,-,-,B,B,-,B,A,A,B,A,-,A,B,A,B,A,-,B,A,B,-,-,B,A,A,-,B,-,B,-,B,A,-,-,-,-,B,-,A,B,-,A,B,A,A,A,A,B,B,B,A,-,-,A,A,-,B,B,B,B,A,A,B,A,A,B,-,B,-,-,-,B,-,-,-,-,A
4A_117034009,4A,38.091,-,B,B,A,B,A,A,B,-,-,-,B,-,A,A,-,A,-,-,A,B,-,-,-,-,B,-,A,B,A,A,-,B,B,B,-,-,-,-,B,A,-,B,-,A,B,B,B,-,B,A,A,A,-,B,B,A,-,-,-,-,B,-,B,-,-,A,B,A,A,B,A,-,B,B,-,B,A,B,A,B,A,B,B,A,-,B,-,A,B,A,A,B,B,A,-,-,-,-,B,-,-,-,-,B,-,-,-,-,-,A,A,-,B,-,B,B,-,B,-,A,B,A,A,-,-,A,-,-,-,-,-,-,-,-,-,A,-,B,B,-,-,B,B,-,-,-,B,A,B,A,-,-,A,A,B,A,A,A,A,B,-,B,-,-,-,A,-,-,B,B,B,-,-,-,B,A,-,B,A,B,-,-,B,-,A,-,A,-,-
4A_126141397,4A,38.316,-,B,B,A,B,A,A,B,A,A,B,-,B,A,A,A,A,A,A,A,B,A,A,-,A,B,B,A,-,-,A,-,B,-,B,B,A,A,A,B,-,B,B,A,-,B,-,-,B,-,A,A,-,A,B,B,A,A,B,-,B,B,A,B,B,B,A,B,-,-,-,A,B,B,B,-,B,-,B,A,B,A,B,B,A,-,-,A,A,B,A,A,B,B,A,-,A,-,-,B,B,-,B,B,B,A,-,-,-,-,-,A,B,B,A,B,B,B,-,A,A,-,A,A,-,-,A,B,-,A,-,A,B,-,A,B,A,-,-,B,-,-,B,B,-,-,-,B,-,B,A,A,-,A,A,B,A,A,-,A,B,B,B,A,-,A,-,A,B,B,B,-,-,A,A,B,A,A,B,A,B,B,-,-,B,A,B,A,B,-
4A_132817735,4A,39.123,-,B,B,A,B,A,A,B,A,A,B,-,B,A,A,A,A,A,A,A,B,-,A,-,A,B,-,A,B,A,A,A,B,B,-,B,A,-,A,B,-,B,-,A,A,B,B,-,-,-,A,A,A,A,B,B,-,A,B,B,B,B,A,B,-,B,A,B,A,A,B,A,-,B,-,-,B,A,B,A,B,A,B,B,A,-,B,A,A,B,A,A,B,B,A,B,A,B,-,B,-,A,-,-,B,A,-,B,-,-,A,-,B,-,A,B,B,B,B,-,A,B,A,A,A,-,A,-,A,-,B,A,-,-,-,B,A,-,-,B,-,B,B,B,-,-,-,B,-,B,A,A,-,A,A,-,A,-,A,-,-,B,B,A,A,A,A,A,B,B,B,B,B,A,-,B,-,A,B,A,B,B,-,B,B,A,A,-,B,A
4A_137474370,4A,46.77,-,B,B,A,B,-,A,B,-,A,-,-,B,-,-,-,A,A,-,A,B,-,-,B,-,B,-,-,B,A,A,-,B,B,-,B,A,-,-,B,-,B,B,A,-,B,B,B,-,B,-,A,-,A,B,B,A,A,-,B,-,B,A,-,-,-,-,-,A,-,-,-,-,-,B,A,B,A,B,A,-,-,B,B,A,-,-,-,A,B,-,-,B,-,A,B,-,-,-,-,B,-,-,-,B,-,B,B,A,-,B,-,B,-,A,B,B,-,B,A,A,-,A,-,-,-,A,B,A,-,-,A,-,-,-,-,-,A,B,-,-,-,B,-,-,-,-,-,A,-,-,-,B,A,-,-,-,A,-,A,-,-,-,A,-,A,A,A,B,-,B,B,B,-,-,-,-,-,B,-,-,-,-,B,B,-,-,A,-,A
4A_151297283,4A,36.608,-,-,B,A,B,-,-,B,-,A,B,-,-,-,A,A,-,-,A,A,-,A,A,B,A,-,B,-,B,A,A,-,B,B,B,B,-,-,-,B,-,-,-,-,-,B,B,-,B,B,-,-,-,-,B,-,A,A,-,B,B,B,A,B,-,B,A,-,A,A,B,A,-,B,B,A,B,-,-,A,B,-,B,-,-,-,B,-,-,B,A,A,-,B,A,-,-,-,-,-,-,-,B,B,B,A,B,-,-,-,A,A,-,B,A,B,B,B,B,A,-,-,A,A,-,-,-,-,-,-,-,A,-,-,A,-,-,-,B,-,-,B,B,-,-,-,-,-,-,B,A,-,-,A,-,B,-,-,A,A,B,B,-,A,A,-,-,-,-,-,-,B,-,-,-,B,-,-,B,-,B,-,B,B,B,A,-,A,B,A
4A_151487057,4A,38.638,-,B,B,A,B,A,A,B,A,-,-,B,B,-,A,-,A,-,A,A,-,-,A,-,-,B,-,-,-,A,A,A,B,B,-,-,A,A,A,B,-,B,B,A,A,-,B,B,-,B,A,A,A,A,-,B,-,A,-,B,B,B,A,B,B,B,A,B,A,-,B,A,B,B,B,-,B,A,B,A,-,A,B,B,-,-,B,A,-,B,-,A,B,B,A,B,A,-,-,B,-,A,B,B,B,-,B,B,A,-,-,-,B,-,A,B,B,B,B,-,A,-,A,A,A,-,A,-,A,A,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,B,-,-,-,-,-,A,-,B,-,-,A,-,B,B,B,-,A,A,A,-,-,-,-,-,-,A,-,B,A,A,B,-,B,-,-,-,B,-,-,-,-,A
4A_153654296,4A,36.535,-,-,B,A,-,A,-,B,A,A,B,-,B,A,A,A,-,-,A,A,B,-,A,B,-,B,-,-,B,A,-,-,B,B,B,B,A,A,A,B,-,-,-,-,A,B,-,B,-,B,A,-,-,-,B,-,A,-,-,B,-,B,A,-,-,B,A,-,A,-,-,A,B,B,B,-,B,A,-,-,B,A,-,B,A,-,-,A,-,B,A,-,B,B,A,-,A,-,-,-,-,A,-,B,B,-,-,-,A,A,-,-,-,-,A,B,-,-,-,A,A,B,A,A,-,B,-,B,-,-,B,A,B,A,-,B,-,A,B,-,-,-,-,B,A,-,-,-,A,B,-,-,-,A,A,B,A,A,-,-,B,-,B,A,A,-,A,-,B,B,-,-,-,-,A,-,-,A,B,-,-,B,-,-,B,-,-,-,B,A
4A_159283812,4A,36.618,-,-,B,A,B,A,A,B,-,A,B,-,-,A,A,A,A,A,A,A,B,-,A,B,A,B,B,A,B,A,A,A,B,B,B,-,A,A,A,B,A,-,B,A,A,B,B,-,B,-,A,-,A,-,-,-,-,A,B,B,-,-,A,B,-,-,A,B,A,A,B,A,-,B,B,A,B,A,B,-,B,A,B,-,A,-,B,A,A,B,A,A,B,B,A,-,-,-,-,-,B,A,-,B,B,-,B,-,-,-,-,-,B,-,A,-,-,-,B,-,A,B,A,A,-,B,A,-,-,-,B,A,B,A,A,B,A,A,B,B,-,-,B,B,-,-,-,-,-,-,A,-,B,A,A,B,A,-,A,A,B,B,B,-,-,A,-,-,-,-,B,B,B,-,-,B,A,-,B,-,B,B,-,-,B,A,-,-,-,A
4A_160356300,4A,36.262,-,-,B,-,B,A,A,B,A,A,B,-,-,A,A,A,A,-,A,A,B,-,A,-,A,B,B,-,-,A,-,A,B,B,-,B,A,A,-,B,-,B,B,A,A,B,B,B,-,B,-,A,A,A,B,-,-,A,-,B,-,-,-,B,-,B,-,B,A,A,B,A,-,B,B,A,B,-,-,A,-,A,B,-,A,-,B,A,A,B,-,A,B,-,A,-,-,B,-,-,-,A,B,-,B,A,B,B,-,A,-,A,B,-,A,B,B,B,B,A,A,-,-,A,-,-,-,B,A,-,-,A,B,-,A,B,A,-,B,B,-,B,-,B,A,-,-,-,-,B,A,-,-,-,-,B,-,A,-,-,B,B,-,-,-,-,-,-,-,B,-,-,B,-,-,B,-,-,B,-,-,B,-,-,B,-,A,A,B,-
4A_160922090,4A,38.316,-,B,B,A,B,A,A,B,A,A,B,B,B,-,A,A,A,A,-,A,B,-,A,B,A,B,B,-,B,-,-,-,-,B,-,B,A,A,-,B,-,B,-,A,A,-,B,-,B,B,-,A,A,-,B,B,A,A,-,B,-,-,A,B,-,B,-,B,A,A,B,A,B,B,B,-,B,A,B,-,-,-,-,B,A,A,B,A,A,B,A,A,B,B,A,B,-,B,-,B,-,-,B,B,-,A,-,B,A,-,A,A,-,B,A,B,B,-,B,A,A,-,-,-,-,B,A,-,-,-,-,-,-,A,-,-,-,-,B,B,-,-,-,B,-,-,-,B,-,B,A,A,-,A,A,B,A,A,A,A,-,B,-,A,A,A,A,A,B,B,B,B,B,-,-,-,A,A,B,-,B,B,B,-,B,A,-,A,B,A
4A_162615807,4A,37.668,-,B,B,A,B,A,A,B,-,A,B,B,B,A,A,A,A,A,A,A,B,-,A,-,A,B,-,A,-,-,A,A,-,-,B,B,A,A,A,-,-,B,B,A,A,B,B,B,B,B,A,A,A,A,B,B,A,-,B,-,-,B,A,B,A,B,A,-,-,A,-,-,-,B,B,A,B,A,B,A,B,A,B,B,A,-,B,-,A,B,-,A,B,B,A,-,A,-,-,B,B,-,B,B,B,A,B,B,A,-,A,-,-,-,A,B,-,-,B,A,A,-,A,A,A,B,A,B,-,A,B,A,-,-,A,-,A,-,B,B,-,-,B,B,-,-,-,-,-,-,A,A,B,-,A,B,A,-,A,-,-,B,B,A,-,A,A,A,B,-,B,B,B,A,A,B,A,-,-,-,B,-,B,B,B,A,-,A,B,A
4A_162795663,4A,44.979,-,-,B,A,B,A,A,B,A,A,B,B,B,A,A,A,A,A,-,A,B,A,A,B,A,B,B,A,B,A,A,A,B,B,B,B,A,A,-,-,-,B,B,A,A,B,B,-,-,B,A,A,A,A,B,B,-,-,-,-,-,B,A,-,-,B,A,B,A,A,-,-,B,B,B,A,B,A,-,A,B,A,B,B,A,-,-,A,A,-,A,A,B,B,A,-,-,B,-,B,-,-,B,B,B,A,-,B,A,A,-,A,B,-,A,B,B,B,-,A,A,B,A,A,-,B,A,B,A,-,-,A,-,-,-,B,A,-,-,B,-,B,B,-,A,-,-,-,-,-,A,-,-,A,A,-,A,-,-,A,B,B,-,A,-,A,-,-,B,B,B,B,B,-,-,B,A,-,B,-,-,B,B,-,-,-,-,A,B,A
4A_163703380,4A,38.126,-,B,B,A,-,A,A,B,A,A,B,B,B,A,A,-,A,A,-,A,-,-,-,B,A,B,-,A,B,A,-,A,B,B,-,B,A,-,A,B,-,B,B,A,-,B,B,B,B,B,-,-,A,A,B,B,-,-,-,B,B,B,A,-,-,B,A,B,-,-,B,A,-,B,B,A,B,A,-,A,-,A,B,B,A,-,B,A,A,-,-,A,B,B,A,B,-,B,-,-,-,A,B,-,-,A,B,B,A,-,-,-,-,B,-,-,B,-,B,-,A,B,A,A,-,B,A,-,A,-,B,-,-,A,A,-,A,-,B,-,-,-,-,B,-,-,-,B,A,B,-,-,B,A,A,-,A,-,A,-,B,B,B,-,A,-,-,-,B,-,-,B,B,-,-,B,A,A,B,A,B,B,B,-,-,A,-,A,-,A
4B_88453722,4A,38.584,-,B,B,A,B,A,A,B,A,A,B,-,B,A,A,A,A,A,A,A,B,-,A,B,A,B,B,A,-,-,A,-,B,B,B,B,A,-,A,-,-,B,B,A,A,B,B,-,B,B,-,-,A,A,B,B,A,A,B,-,B,B,A,B,-,B,A,B,A,A,B,-,B,-,B,A,B,A,B,A,B,-,B,B,A,-,B,A,A,B,A,A,B,B,A,-,-,B,-,B,-,-,B,B,-,-,-,-,A,-,-,-,-,B,A,B,B,B,B,A,A,-,A,-,-,B,A,-,A,-,-,-,-,A,-,B,-,A,B,B,-,B,-,-,-,-,-,-,A,-,A,A,-,A,-,-,A,A,-,-,B,B,-,-,A,A,-,-,B,B,B,B,B,A,-,-,-,-,B,-,B,B,B,B,B,-,-,A,B,A
4B_121850175,4A,40.213,-,B,B,A,B,A,-,B,A,A,B,-,B,-,A,-,-,-,-,A,B,-,-,B,A,B,-,-,B,A,-,A,B,B,B,B,-,-,-,-,B,B,-,A,A,B,B,B,-,-,-,A,A,A,B,-,A,A,B,B,-,-,-,B,-,B,-,B,-,A,-,A,B,B,-,A,B,A,B,A,-,-,B,-,A,-,B,A,A,-,-,A,-,B,A,-,-,B,-,B,B,A,B,B,B,-,-,B,-,A,A,-,-,-,-,B,-,B,B,-,-,-,-,-,-,B,-,B,A,-,-,-,-,-,A,B,-,-,B,-,-,-,B,-,-,-,-,-,-,-,A,-,B,A,-,B,A,-,A,A,B,B,B,-,-,A,A,A,-,B,B,B,-,-,-,-,-,A,B,-,B,-,B,-,-,A,B,-,-,-
4B_146977420,4A,35.993,-,B,B,-,B,A,A,B,-,A,B,-,B,A,A,-,A,-,A,A,B,-,A,B,A,B,B,-,-,A,A,A,-,B,B,B,A,A,-,B,-,B,B,A,A,B,-,B,-,-,A,A,-,A,B,-,A,A,-,-,B,-,A,B,-,B,A,B,-,A,B,-,B,B,-,A,B,A,B,A,B,A,B,B,A,-,B,A,A,B,A,A,B,-,A,B,-,B,-,-,-,A,-,B,B,A,B,B,A,A,B,A,-,-,-,B,B,-,B,A,A,B,A,-,A,-,A,B,-,A,-,-,B,A,A,B,-,A,-,B,A,-,-,-,-,-,-,-,A,B,A,-,-,A,-,-,-,A,A,-,-,B,-,A,-,A,A,-,B,-,B,B,-,-,-,B,-,A,-,A,-,B,B,-,B,-,-,A,-,A
4B_184779667,4A,43.309,-,B,B,A,B,A,A,B,A,-,B,-,-,-,A,A,-,A,A,A,B,A,A,B,A,B,-,A,B,-,-,A,B,-,B,B,-,A,A,B,-,-,B,-,A,B,-,B,-,B,A,A,A,A,B,B,-,A,-,B,B,B,A,B,-,B,A,B,A,-,B,-,-,B,B,A,B,A,B,A,-,-,B,B,A,-,-,-,A,B,-,A,-,-,A,B,A,-,-,B,B,A,-,B,-,A,B,B,-,-,A,A,-,-,A,B,-,-,-,-,A,-,A,-,-,B,A,B,A,A,-,-,B,-,A,B,-,-,B,-,-,-,-,B,-,-,-,B,-,B,-,-,B,A,-,B,A,A,A,A,B,B,-,-,-,A,A,-,B,B,B,-,B,A,A,B,-,A,-,A,-,B,-,B,B,A,-,A,-,-
4B_200722471,4A,38.816,-,B,B,-,B,A,-,B,-,-,-,B,B,-,A,A,-,A,-,A,B,-,A,-,-,-,B,A,B,-,-,A,B,B,B,B,-,-,-,B,A,-,B,A,A,B,B,B,B,B,-,A,A,-,B,B,A,A,-,-,-,B,A,B,-,B,A,-,A,A,-,-,-,B,B,A,-,A,B,A,B,A,B,B,-,-,-,-,A,-,A,A,-,B,A,-,-,-,-,-,-,-,B,B,B,A,-,B,-,-,-,-,-,-,-,-,-,B,-,-,A,-,A,A,-,-,-,-,A,-,B,-,-,-,-,B,A,-,-,-,-,B,B,B,A,-,-,-,-,-,-,A,-,A,-,-,A,A,A,A,B,-,B,-,A,A,-,A,B,B,-,B,-,A,-,-,-,A,B,A,B,-,-,-,B,-,-,A,-,-
4B_214892086,4A,36.616,-,B,-,-,B,A,A,B,A,-,-,B,B,-,A,-,A,-,A,A,-,-,-,B,-,-,B,-,-,-,A,-,B,B,B,B,A,A,-,-,-,B,-,A,A,-,B,-,B,-,A,A,A,A,-,-,A,A,-,B,-,B,A,-,-,B,A,B,-,A,B,-,-,B,-,A,B,A,B,A,B,A,B,-,A,-,B,A,A,B,A,-,B,-,A,B,-,-,-,B,B,-,-,-,B,-,B,-,A,-,-,-,-,-,A,-,B,B,-,-,A,-,-,A,-,-,A,-,-,-,B,-,B,-,A,-,-,-,-,-,-,B,-,-,-,-,-,B,A,B,-,A,B,A,A,-,-,A,-,A,B,B,B,-,A,A,A,-,B,-,-,-,B,-,A,-,A,-,-,-,-,-,-,-,-,A,-,-,-,A
6A_66106356,4A,38.316,-,B,B,A,-,A,-,B,A,-,B,B,B,A,A,-,A,-,A,A,B,-,A,-,A,B,-,A,B,A,A,-,B,-,-,B,-,A,-,-,A,-,B,-,A,B,-,-,-,B,A,A,A,A,B,-,A,A,-,-,B,B,A,B,B,-,-,-,-,A,B,A,B,B,B,A,B,-,B,A,B,-,B,B,-,-,B,A,A,B,-,A,B,B,A,-,-,-,-,-,-,A,-,-,-,A,-,-,A,A,-,A,-,-,A,-,B,B,-,-,A,B,A,A,-,B,A,B,A,-,B,-,B,-,A,-,A,-,-,B,-,-,-,-,-,B,-,-,A,-,-,A,-,A,-,-,-,A,-,A,B,B,B,-,-,-,-,A,B,-,-,B,-,-,-,B,A,A,-,-,B,-,-,-,B,-,-,-,-,-
4A_82397387,4A,42.396,-,B,B,A,B,A,A,B,A,-,-,-,-,A,A,-,A,A,A,-,B,-,A,-,A,-,B,A,-,-,A,-,B,-,B,B,-,-,A,B,A,B,B,A,-,-,B,B,-,B,-,A,A,-,B,B,A,A,B,-,B,-,A,-,-,-,A,-,-,A,B,A,B,B,B,A,B,A,-,-,B,A,B,B,A,-,-,-,A,B,-,-,B,B,A,-,A,-,-,B,-,-,B,-,B,-,-,B,A,-,A,-,B,-,-,B,-,B,A,-,A,-,-,A,A,-,A,B,A,A,-,-,-,A,-,-,A,-,-,B,-,-,-,B,-,-,-,-,-,-,A,-,B,-,A,B,-,A,-,A,-,-,B,-,A,-,A,A,-,-,B,B,B,-,A,-,A,-,B,-,B,B,-,B,B,A,-,A,B,A
4A_85086940,4A,44.332,-,B,B,A,B,A,A,B,A,A,B,B,B,A,A,-,-,A,A,A,B,-,A,B,A,B,B,A,B,A,A,A,B,B,B,B,A,-,-,B,-,B,B,A,A,B,B,B,B,B,A,A,A,A,B,B,A,A,B,B,B,B,A,B,-,B,A,B,A,A,B,A,B,B,B,A,B,A,B,B,B,A,B,B,A,A,-,A,A,B,A,-,B,B,A,B,-,B,-,B,B,A,B,B,B,A,B,-,A,A,A,A,B,B,-,B,B,B,A,A,A,B,A,A,-,B,A,B,-,A,B,-,-,-,A,-,A,-,B,B,-,B,B,B,A,-,-,-,A,B,A,-,B,A,-,B,A,-,A,A,B,B,B,A,A,A,A,A,B,B,B,B,-,A,-,B,A,A,-,-,B,-,B,B,B,A,-,A,B,A
4A_86043117,4A,37.005,-,B,B,-,-,A,A,B,-,A,-,B,B,-,A,A,-,A,-,A,-,-,A,-,A,B,B,A,B,A,A,-,-,B,-,B,A,-,-,B,A,B,B,-,-,B,-,B,-,B,A,A,A,A,-,B,A,-,-,B,B,B,A,B,-,-,-,-,A,A,B,A,-,B,B,A,B,A,B,-,-,A,B,B,A,-,B,A,-,B,A,A,B,-,A,B,-,-,-,-,B,A,-,-,-,A,B,-,-,-,-,A,B,-,-,B,-,-,A,A,-,-,A,-,A,B,A,-,A,-,B,-,B,-,A,-,A,-,B,-,-,B,-,-,A,-,-,-,-,B,A,-,-,A,A,B,A,-,-,A,-,B,-,-,A,-,A,A,-,-,-,B,B,-,-,B,A,-,B,-,-,B,-,B,-,-,-,-,-,A
4B_138753151,4A,44.845,-,B,B,A,-,-,A,B,-,A,-,B,-,A,-,A,-,A,A,A,B,-,A,-,A,B,-,A,-,A,A,A,B,-,-,-,A,A,-,B,A,B,B,A,-,B,B,-,-,B,A,-,A,A,B,B,A,-,B,B,B,B,A,B,-,-,-,B,A,-,B,A,B,B,B,-,-,A,B,A,B,A,B,B,A,-,B,A,-,B,A,A,B,B,A,B,A,-,-,-,-,-,-,-,B,A,-,B,A,A,-,A,-,-,A,B,B,-,A,A,A,-,A,-,A,B,A,B,A,-,B,A,B,-,A,B,A,-,-,B,-,B,B,B,A,-,-,-,A,B,A,A,B,-,-,B,-,A,A,-,-,-,-,A,-,A,A,A,B,B,B,-,B,-,-,B,A,-,B,A,B,-,-,B,B,A,-,A,B,A
6B_145427414,4A,42.724,-,B,B,-,B,A,A,-,-,A,-,-,-,A,A,-,A,A,-,A,B,-,-,-,-,B,B,A,B,-,-,A,-,B,-,B,-,A,-,B,-,-,B,A,-,B,-,B,B,-,A,A,-,A,B,-,A,-,B,B,B,B,A,B,-,-,-,B,A,A,-,-,B,B,-,A,B,A,-,A,-,A,B,B,A,-,B,A,A,B,-,A,-,B,A,-,A,-,-,-,-,-,B,-,-,A,B,-,A,A,-,-,-,-,-,B,B,-,A,-,A,-,-,A,A,-,-,B,-,-,B,A,-,-,A,-,A,-,B,B,-,-,-,-,A,B,-,B,-,B,A,-,B,-,-,-,-,-,A,A,-,B,B,-,-,-,-,A,-,-,B,B,-,-,-,B,-,-,B,-,B,-,B,-,-,-,-,-,-,-
4A_105136601,4A,36.42,-,B,B,A,B,A,-,-,-,A,B,-,-,A,A,-,A,A,A,-,B,-,A,-,-,-,B,A,B,-,A,A,B,B,B,-,A,A,A,-,-,B,-,A,-,B,B,B,B,B,-,A,A,-,-,B,-,A,-,-,-,-,-,B,-,-,-,-,A,-,B,A,-,B,B,A,B,A,B,A,B,A,B,B,A,-,B,A,A,B,-,-,B,B,A,-,A,B,-,-,-,A,-,-,-,A,B,B,A,A,-,A,B,-,A,B,-,B,B,A,A,-,-,A,A,B,A,B,A,-,-,A,-,-,A,B,A,-,-,B,-,B,B,B,-,A,-,-,A,-,-,A,-,A,-,-,-,A,A,A,B,-,B,A,-,A,-,A,B,B,B,B,-,A,-,-,A,A,B,-,B,-,-,-,-,-,-,A,-,A
4A_105137646,4A,36.616,-,B,B,A,B,A,-,B,-,A,-,B,-,A,-,A,A,A,A,A,B,-,A,-,A,B,B,A,-,A,-,A,-,B,B,B,A,A,-,B,-,B,-,-,A,B,B,-,-,B,-,A,A,-,B,B,A,A,B,-,B,-,A,B,-,B,A,B,A,A,B,A,B,B,B,A,B,A,B,A,B,A,B,B,A,-,-,A,A,-,A,A,B,B,A,B,-,-,-,-,B,A,B,-,-,A,B,B,-,-,A,-,B,B,A,B,-,B,B,A,A,B,A,A,A,B,A,B,-,A,B,A,-,-,A,B,A,A,-,B,-,B,-,B,A,A,-,-,A,-,A,-,B,A,-,-,A,-,A,-,B,B,-,A,A,A,-,A,B,B,B,B,B,A,-,B,A,-,B,A,-,B,-,-,B,-,-,A,B,A
4A_124983324,4A,41.765,-,B,B,A,B,A,A,B,A,-,B,B,B,A,A,A,A,-,A,-,-,-,A,-,A,B,B,A,-,A,A,A,B,-,B,B,A,-,A,B,A,B,B,A,A,B,B,B,B,B,A,A,A,A,B,B,A,A,-,B,B,B,-,B,-,B,A,B,A,A,B,A,B,-,B,A,B,A,B,A,B,A,-,B,-,-,B,A,A,B,A,A,B,B,A,B,A,-,-,B,-,A,-,B,-,A,B,-,A,-,-,-,-,-,A,-,B,B,B,A,A,-,A,A,-,B,A,B,-,-,B,-,B,-,A,B,A,-,-,-,-,B,-,-,A,A,-,-,A,-,A,A,-,A,-,B,A,A,A,A,B,B,B,A,A,A,A,-,-,B,B,B,B,A,-,B,A,A,B,-,-,-,B,B,B,A,-,-,B,A
4A_131375442,4A,37.51,-,B,B,A,B,A,A,B,A,A,B,-,B,-,A,-,A,A,A,A,B,-,A,B,A,B,B,A,B,A,A,-,-,B,B,B,A,-,A,B,-,B,B,-,A,B,B,B,B,B,A,-,A,A,B,B,A,-,B,B,B,-,A,B,-,-,A,B,-,A,B,-,-,B,B,A,B,A,-,A,-,A,B,B,A,-,B,A,A,B,A,A,B,B,A,B,A,B,-,B,B,-,B,B,-,-,B,B,-,-,A,-,B,B,A,B,B,-,B,A,A,A,-,A,A,-,A,B,A,A,B,A,B,-,-,-,A,-,B,-,-,B,B,B,A,A,-,-,A,B,A,A,B,A,-,-,A,A,A,-,-,B,B,A,A,A,-,A,B,B,B,B,-,A,-,B,A,A,-,-,B,-,B,B,B,A,-,A,-,A
