marker	LG	gPos	gOrder	chr	pPos	pOrder
4A_178966633	4A	230.8404841	3243	4A	178966633	3244
4A_184112322	4A	230.8404841	3244	4A	184112322	3271
4A_197022478	4A	230.8404841	3245	4A	197022478	3331
4A_191110776	4A	230.8404841	3246	4A	191110776	3301
4A_191472521	4A	234.1233112	3247	4A	191472521	3303
4A_181073609	4A	234.1233112	3248	4A	181073609	3256
4A_182529614	4A	234.1233112	3249	4A	182529614	3266
4A_181240196	4A	234.1233112	3250	4A	181240196	3258
4A_193073445	4A	234.1233112	3251	4A	193073445	3320
4A_198844922	4A	237.7481187	3252	4A	198844922	3342
4A_191701842	4A	237.7481187	3253	4A	191701842	3308
4A_184733376	4A	237.7481187	3254	4A	184733376	3274
4A_181073407	4A	237.7481187	3255	4A	181073407	3255
4A_193699585	4A	241.7668889	3256	4A	193699585	3324
4A_191569204	4A	241.7668889	3257	4A	191569204	3304
4A_192006550	4A	241.7668889	3258	4A	192006550	3312
4A_184882059	4A	241.7668889	3259	4A	184882059	3275
4A_187892803	4A	241.7668889	3260	4A	187892803	3283
4A_185040528	4A	241.7668889	3261	4A	185040528	3276
4A_181004119	4A	241.7668889	3262	4A	181004119	3254
4A_198839956	4A	241.7668889	3263	4A	198839956	3341
4A_198153236	4A	241.7668889	3264	4A	198153236	3338
4A_187433857	4A	241.7668889	3265	4A	187433857	3282
4A_178997549	4A	241.7668889	3266	4A	178997549	3245
4A_180222244	4A	241.7668889	3267	4A	180222244	3251
4A_185289524	4A	241.7668889	3268	4A	185289524	3277
4A_198153370	4A	241.7668889	3269	4A	198153370	3339
4A_181478617	4A	241.7668889	3270	4A	181478617	3260
4A_185297836	4A	245.6838609	3271	4A	185297836	3279
4A_187969955	4A	245.6838609	3272	4A	187969955	3284
4A_192959602	4A	245.6838609	3273	4A	192959602	3319
2B_162142673	4A	245.6838609	3274	2B	162142673	1550
4A_185289929	4A	245.6838609	3275	4A	185289929	3278
4A_190008274	4A	245.6838609	3276	4A	190008274	3293
3B_72719023	4A	245.6838609	3277	3B	72719023	2413
4A_197703329	4A	245.6838609	3278	4A	197703329	3333
4A_186413402	4A	245.6838609	3279	4A	186413402	3280
4A_184099692	4A	248.3676523	3280	4A	184099692	3270
4A_191691152	4A	250.0554202	3281	4A	191691152	3306
2B_343292052	4A	253.4084107	3282	2B	343292052	1816
4A_179601588	4A	256.8023729	3283	4A	179601588	3246
7A_11723252	4A	256.8023729	3284	7A	11723252	5862
4A_181558172	4A	256.8023729	3285	4A	181558172	3262
4A_191077696	4A	260.675995	3286	4A	191077696	3300
4A_180011330	4A	266.5182403	3287	4A	180011330	3250
4A_191051140	4A	266.5182403	3288	4A	191051140	3298
4A_191075477	4A	266.5182403	3289	4A	191075477	3299
4A_180010908	4A	266.5182403	3290	4A	180010908	3249
4A_194775756	4A	266.5182403	3291	4A	194775756	3329
4A_179603887	4A	266.5182403	3292	4A	179603887	3247
4A_192033200	4A	266.5182403	3293	4A	192033200	3314
4A_184438103	4A	266.5182403	3294	4A	184438103	3273
4A_181334663	4A	266.5182403	3295	4A	181334663	3259
4A_190881114	4A	266.5182403	3296	4A	190881114	3297
4A_192017828	4A	266.5182403	3297	4A	192017828	3313
4A_191691873	4A	266.5182403	3298	4A	191691873	3307
4A_194287815	4A	266.5182403	3299	4A	194287815	3327
4A_191929179	4A	266.5182403	3300	4A	191929179	3311
4A_192144796	4A	266.5182403	3301	4A	192144796	3315
4A_187973110	4A	266.5182403	3302	4A	187973110	3285
4A_197866953	4A	272.0227886	3303	4A	197866953	3335
4A_193921330	4A	275.7215987	3304	4A	193921330	3325
3A_76189611	4A	275.7215987	3305	3A	76189611	1981
2B_23893022	4A	278.8770545	3306	2B	23893022	1370
4A_196237134	4A	283.11286	3307	4A	196237134	3330
4A_197502833	4A	287.5920669	3308	4A	197502833	3332
4A_188268098	4A	290.6061752	3309	4A	188268098	3286
4A_190110568	4A	290.6061752	3310	4A	190110568	3294
4A_188269278	4A	290.6061752	3311	4A	188269278	3287
4A_188726788	4A	290.6061752	3312	4A	188726788	3289
4A_181164995	4A	294.3612189	3313	4A	181164995	3257
4A_180927841	4A	294.3612189	3314	4A	180927841	3253
4A_191840200	4A	294.3612189	3315	4A	191840200	3310
4A_190381726	4A	294.3612189	3316	4A	190381726	3295
4A_200949222	4A	294.3612189	3317	4A	200949222	3353
4A_200548371	4A	297.4856653	3318	4A	200548371	3348
4A_200025967	4A	297.4856653	3319	4A	200025967	3344
4A_200346764	4A	297.4856653	3320	4A	200346764	3347
4A_200921996	4A	299.8519166	3321	4A	200921996	3352
4A_201789412	4A	302.2866453	3322	4A	201789412	3360
4A_201172876	4A	304.2227113	3323	4A	201172876	3356
4A_200737718	4A	304.2227113	3324	4A	200737718	3350
4A_200070462	4A	304.2227113	3325	4A	200070462	3345
4A_200749518	4A	304.2227113	3326	4A	200749518	3351
4A_201355176	4A	304.2227113	3327	4A	201355176	3358
4A_201319712	4A	306.6754832	3328	4A	201319712	3357
4A_202168678	4A	306.6754832	3329	4A	202168678	3363
4A_202510147	4A	306.6754832	3330	4A	202510147	3367
4A_201170565	4A	306.6754832	3331	4A	201170565	3355
4A_201856507	4A	306.6754832	3332	4A	201856507	3361
4A_201120107	4A	306.6754832	3333	4A	201120107	3354
4A_202272596	4A	309.4469751	3334	4A	202272596	3364
4A_202289961	4A	312.5166164	3335	4A	202289961	3365
4A_202812786	4A	315.6209768	3336	4A	202812786	3368
4A_204366729	4A	318.0597187	3337	4A	204366729	3371
4A_204848250	4A	318.0597187	3338	4A	204848250	3374
4A_204567158	4A	319.8178546	3339	4A	204567158	3372
4A_205046300	4A	319.8178546	3340	4A	205046300	3376
4A_203471558	4A	319.8178546	3341	4A	203471558	3369
4A_203921248	4A	319.8178546	3342	4A	203921248	3370
4A_204788742	4A	319.8178546	3343	4A	204788742	3373
4A_204878217	4A	319.8178546	3344	4A	204878217	3375
4A_205246902	4A	321.6852488	3345	4A	205246902	3377
4A_205409615	4A	323.7554606	3346	4A	205409615	3378
4A_206518851	4A	323.7554606	3347	4A	206518851	3379
4A_207747138	4A	326.3263665	3348	4A	207747138	3384
4A_206658396	4A	328.6574048	3349	4A	206658396	3380
4A_207721615	4A	328.6574048	3350	4A	207721615	3382
4A_207722224	4A	328.6574048	3351	4A	207722224	3383
4A_207771777	4A	330.7730559	3352	4A	207771777	3385
4A_207849741	4A	330.7730559	3353	4A	207849741	3386
7A_2552909	4A	330.7730559	3354	7A	2552909	5768
7A_7754970	4A	330.7730559	3355	7A	7754970	5835
4A_210092651	4A	332.7187362	3356	4A	210092651	3406
4A_209350949	4A	335.4919167	3357	4A	209350949	3397
4A_208167692	4A	335.4919167	3358	4A	208167692	3387
4A_210218565	4A	335.4919167	3359	4A	210218565	3407
4A_210905462	4A	335.4919167	3360	4A	210905462	3414
4A_209358800	4A	335.4919167	3361	4A	209358800	3398
4A_209450349	4A	335.4919167	3362	4A	209450349	3400
4A_210905373	4A	335.4919167	3363	4A	210905373	3413
4A_208247577	4A	335.4919167	3364	4A	208247577	3388
4A_208609568	4A	335.4919167	3365	4A	208609568	3390
4A_208855640	4A	335.4919167	3366	4A	208855640	3393
4A_209110775	4A	335.4919167	3367	4A	209110775	3395
4A_210002078	4A	335.4919167	3368	4A	210002078	3404
4A_210542442	4A	335.4919167	3369	4A	210542442	3410
4A_210905189	4A	335.4919167	3370	4A	210905189	3412
4A_208551939	4A	335.4919167	3371	4A	208551939	3389
4A_208733002	4A	335.4919167	3372	4A	208733002	3391
4A_209492989	4A	335.4919167	3373	4A	209492989	3401
4A_209581109	4A	335.4919167	3374	4A	209581109	3402
4A_210650997	4A	335.4919167	3375	4A	210650997	3411
4A_206964095	4A	335.4919167	3376	4A	206964095	3381
6A_207224720	4A	338.4077391	3377	6A	207224720	5287
4A_208969058	4A	340.4236299	3378	4A	208969058	3394
4A_209446084	4A	340.4236299	3379	4A	209446084	3399
4A_209643217	4A	342.5161567	3380	4A	209643217	3403
4A_210537682	4A	342.5161567	3381	4A	210537682	3409
7A_1962923	4A	342.5161567	3382	7A	1962923	5761
4A_210521614	4A	342.5161567	3383	4A	210521614	3408
4A_210050402	4A	342.5161567	3384	4A	210050402	3405
2B_341482992	4A	344.4329505	3385	2B	341482992	1804
4A_210959378	4A	345.7898162	3386	4A	210959378	3417
4A_209139405	4A	345.7898162	3387	4A	209139405	3396
4A_210947260	4A	345.7898162	3388	4A	210947260	3416
4A_213216948	4A	348.161649	3389	4A	213216948	3443
4A_214228973	4A	348.161649	3390	4A	214228973	3450
4A_214221283	4A	348.161649	3391	4A	214221283	3449
4A_213398140	4A	348.161649	3392	4A	213398140	3444
4A_214168515	4A	350.4399529	3393	4A	214168515	3448
4A_211386989	4A	350.4399529	3394	4A	211386989	3424
4A_211760703	4A	350.4399529	3395	4A	211760703	3430
4A_212007943	4A	350.4399529	3396	4A	212007943	3433
4A_213582607	4A	350.4399529	3397	4A	213582607	3445
4A_211421630	4A	350.4399529	3398	4A	211421630	3425
4A_211762466	4A	350.4399529	3399	4A	211762466	3431
5A_146704957	4A	350.4399529	3400	5A	146704957	4253
4A_212635344	4A	352.4671464	3401	4A	212635344	3439
4A_211133144	4A	352.4671464	3402	4A	211133144	3421
4A_213808457	4A	352.4671464	3403	4A	213808457	3446
4A_211441707	4A	352.4671464	3404	4A	211441707	3426
4A_211755929	4A	352.4671464	3405	4A	211755929	3429
4A_212539224	4A	354.1260277	3406	4A	212539224	3438
1B_211269762	4A	354.1260277	3407	1B	211269762	539
4A_211039856	4A	354.1260277	3408	4A	211039856	3418
4A_211708070	4A	354.1260277	3409	4A	211708070	3428
4A_212116200	4A	355.7985847	3410	4A	212116200	3434
4A_213813813	4A	355.7985847	3411	4A	213813813	3447
4A_211909881	4A	357.8481566	3412	4A	211909881	3432
4A_211105159	4A	357.8481566	3413	4A	211105159	3419
4A_212890049	4A	357.8481566	3414	4A	212890049	3440
4A_211289217	4A	359.6406199	3415	4A	211289217	3423
4A_211671970	4A	359.6406199	3416	4A	211671970	3427
4A_212489596	4A	359.6406199	3417	4A	212489596	3437
4A_211123880	4A	359.6406199	3418	4A	211123880	3420
4A_212989515	4A	363.8369365	3419	4A	212989515	3442
4A_212366993	4A	366.5830405	3420	4A	212366993	3436
4A_215698507	4A	369.2807824	3421	4A	215698507	3469
4A_215213507	4A	369.2807824	3422	4A	215213507	3458
4A_215588506	4A	369.2807824	3423	4A	215588506	3467
4A_215759495	4A	372.0145528	3424	4A	215759495	3471
4A_215192209	4A	374.6841719	3425	4A	215192209	3456
4A_215805545	4A	376.4914429	3426	4A	215805545	3473
4A_215754192	4A	379.0886691	3427	4A	215754192	3470
2A_6084478	4A	379.0886691	3428	2A	6084478	724
4A_215482283	4A	379.0886691	3429	4A	215482283	3463
4A_215194773	4A	379.0886691	3430	4A	215194773	3457
4A_215475209	4A	379.0886691	3431	4A	215475209	3462
4A_214991833	4A	379.0886691	3432	4A	214991833	3454
4A_215482559	4A	379.0886691	3433	4A	215482559	3464
4A_215487381	4A	379.0886691	3434	4A	215487381	3465
4A_215639248	4A	379.0886691	3435	4A	215639248	3468
4A_215490756	4A	379.0886691	3436	4A	215490756	3466
7A_469190	4A	379.0886691	3437	7A	469190	5736
4A_215801525	4A	379.0886691	3438	4A	215801525	3472
4A_215349383	4A	379.0886691	3439	4A	215349383	3460
4A_214901286	4A	382.7593891	3440	4A	214901286	3453
4A_215253457	4A	382.7593891	3441	4A	215253457	3459
4A_212900459	4A	386.943605	3442	4A	212900459	3441
4A_214612541	4A	386.943605	3443	4A	214612541	3451
4A_214612825	4A	386.943605	3444	4A	214612825	3452
2A_6086126	4A	386.943605	3445	2A	6086126	725
4A_215457375	4A	386.943605	3446	4A	215457375	3461
4B_628420	4B	0	3447	4B	628420	3478
4B_1200395	4B	0	3448	4B	1200395	3481
4B_1568275	4B	0	3449	4B	1568275	3483
4B_327943	4B	0	3450	4B	327943	3475
2B_344518989	4B	5.670370842	3451	2B	344518989	1821
4A_172489270	4B	12.36997152	3452	4A	172489270	3228
4B_29914	4B	12.36997152	3453	4B	29914	3474
4B_342310	4B	12.36997152	3454	4B	342310	3476
4B_451994	4B	12.36997152	3455	4B	451994	3477
4B_1099978	4B	12.36997152	3456	4B	1099978	3480
4B_1093961	4B	16.76228173	3457	4B	1093961	3479
4B_1819674	4B	21.16667837	3458	4B	1819674	3484
4B_2386088	4B	21.16667837	3459	4B	2386088	3487
4B_2024296	4B	21.16667837	3460	4B	2024296	3485
4B_2120110	4B	25.28402814	3461	4B	2120110	3486
4B_2651992	4B	25.28402814	3462	4B	2651992	3488
4B_2683123	4B	25.28402814	3463	4B	2683123	3489
4B_2778127	4B	25.28402814	3464	4B	2778127	3490
4B_3244322	4B	25.28402814	3465	4B	3244322	3492
4B_3787421	4B	25.28402814	3466	4B	3787421	3496
4B_3789267	4B	25.28402814	3467	4B	3789267	3497
4B_3626937	4B	25.28402814	3468	4B	3626937	3494
4B_4183682	4B	29.03406664	3469	4B	4183682	3498
4B_3522779	4B	32.04631013	3470	4B	3522779	3493
4B_3751606	4B	35.56689037	3471	4B	3751606	3495
4B_5442880	4B	39.51737001	3472	4B	5442880	3506
4B_5446138	4B	39.51737001	3473	4B	5446138	3507
4B_6342348	4B	39.51737001	3474	4B	6342348	3512
4B_5844940	4B	43.67808253	3475	4B	5844940	3509
7A_167226713	4B	43.67808253	3476	7A	167226713	6197
4B_6132345	4B	46.61656819	3477	4B	6132345	3510
4B_4817616	4B	51.46641138	3478	4B	4817616	3500
4B_4821626	4B	51.46641138	3479	4B	4821626	3501
4B_5353463	4B	51.46641138	3480	4B	5353463	3504
4B_4533655	4B	54.0522745	3481	4B	4533655	3499
4B_5383734	4B	54.0522745	3482	4B	5383734	3505
4B_6156720	4B	56.37667594	3483	4B	6156720	3511
4B_5120337	4B	56.37667594	3484	4B	5120337	3503
4B_9637977	4B	61.83564935	3485	4B	9637977	3521
4B_7853622	4B	61.83564935	3486	4B	7853622	3514
4B_8071711	4B	64.53353692	3487	4B	8071711	3517
4B_7857955	4B	66.70709847	3488	4B	7857955	3515
4B_8348415	4B	66.70709847	3489	4B	8348415	3518
4B_7539812	4B	70.11048048	3490	4B	7539812	3513
4B_9776221	4B	75.15545974	3491	4B	9776221	3522
4B_9221301	4B	75.15545974	3492	4B	9221301	3520
4B_9067415	4B	80.37077744	3493	4B	9067415	3519
4B_10876424	4B	87.76838272	3494	4B	10876424	3527
4B_10190579	4B	93.38550394	3495	4B	10190579	3523
4B_15781716	4B	100.7507044	3496	4B	15781716	3541
4B_10661195	4B	100.7507044	3497	4B	10661195	3526
4B_11220421	4B	100.7507044	3498	4B	11220421	3528
4B_10341906	4B	100.7507044	3499	4B	10341906	3524
4B_14280630	4B	108.2949504	3500	4B	14280630	3536
4B_14419087	4B	115.1903352	3501	4B	14419087	3537
4B_13877708	4B	115.1903352	3502	4B	13877708	3534
4B_16969930	4B	121.0175229	3503	4B	16969930	3545
4B_12531798	4B	126.1311646	3504	4B	12531798	3531
4B_16140740	4B	126.1311646	3505	4B	16140740	3542
4B_15628898	4B	126.1311646	3506	4B	15628898	3540
4B_13154382	4B	126.1311646	3507	4B	13154382	3532
4B_15626407	4B	126.1311646	3508	4B	15626407	3539
4B_13634950	4B	126.1311646	3509	4B	13634950	3533
4B_12319123	4B	126.1311646	3510	4B	12319123	3529
4B_14451130	4B	126.1311646	3511	4B	14451130	3538
4B_16304044	4B	131.0301163	3512	4B	16304044	3543
4B_17256539	4B	131.0301163	3513	4B	17256539	3547
4B_16322159	4B	131.0301163	3514	4B	16322159	3544
4B_17087053	4B	131.0301163	3515	4B	17087053	3546
4B_17749062	4B	131.0301163	3516	4B	17749062	3548
4B_185562095	4B	134.2226818	3517	4B	185562095	3631
4B_185959641	4B	134.2226818	3518	4B	185959641	3633
4B_180731566	4B	134.2226818	3519	4B	180731566	3626
4B_185961656	4B	134.2226818	3520	4B	185961656	3634
1A_45243416	4B	134.2226818	3521	1A	45243416	135
4B_166681696	4B	136.5002413	3522	4B	166681696	3620
4B_185562856	4B	136.5002413	3523	4B	185562856	3632
4B_49842396	4B	136.5002413	3524	4B	49842396	3559
4B_205265272	4B	136.5002413	3525	4B	205265272	3645
4B_59396469	4B	136.5002413	3526	4B	59396469	3567
4B_210960871	4B	136.5002413	3527	4B	210960871	3647
4B_91965069	4B	136.5002413	3528	4B	91965069	3579
4B_160634054	4B	138.9331359	3529	4B	160634054	3615
4B_168697582	4B	138.9331359	3530	4B	168697582	3621
4B_191146486	4B	138.9331359	3531	4B	191146486	3637
4B_181627850	4B	138.9331359	3532	4B	181627850	3627
4B_229090510	4B	138.9331359	3533	4B	229090510	3656
4B_41957125	4B	138.9331359	3534	4B	41957125	3558
4B_229092842	4B	138.9331359	3535	4B	229092842	3657
4B_54243593	4B	138.9331359	3536	4B	54243593	3563
4B_237539544	4B	138.9331359	3537	4B	237539544	3667
4B_96775682	4B	138.9331359	3538	4B	96775682	3583
4B_152420785	4B	141.1925885	3539	4B	152420785	3610
4B_214045920	4B	141.1925885	3540	4B	214045920	3649
4B_80061609	4B	141.1925885	3541	4B	80061609	3571
4B_96290979	4B	141.1925885	3542	4B	96290979	3581
4B_114334365	4B	141.1925885	3543	4B	114334365	3593
4B_88528287	4B	141.1925885	3544	4B	88528287	3575
4B_90152692	4B	141.1925885	3545	4B	90152692	3576
4B_110174594	4B	141.1925885	3546	4B	110174594	3589
4B_153198865	4B	141.1925885	3547	4B	153198865	3611
4B_186513170	4B	141.1925885	3548	4B	186513170	3635
4B_30793085	4B	141.1925885	3549	4B	30793085	3551
4B_111194802	4B	141.1925885	3550	4B	111194802	3591
4B_178363847	4B	141.1925885	3551	4B	178363847	3625
4B_214880689	4B	141.1925885	3552	4B	214880689	3650
4B_187733849	4B	141.1925885	3553	4B	187733849	3636
4B_126605966	4B	141.1925885	3554	4B	126605966	3598
4B_164905213	4B	141.1925885	3555	4B	164905213	3618
4B_141863500	4B	141.1925885	3556	4B	141863500	3604
4B_108651307	4B	141.1925885	3557	4B	108651307	3586
4B_30638719	4B	143.7137331	3558	4B	30638719	3550
4B_135000681	4B	143.7137331	3559	4B	135000681	3600
4B_173701436	4B	143.7137331	3560	4B	173701436	3622
4B_182150948	4B	143.7137331	3561	4B	182150948	3628
4B_59395560	4B	143.7137331	3562	4B	59395560	3566
4B_218633649	4B	143.7137331	3563	4B	218633649	3653
4B_82902766	4B	143.7137331	3564	4B	82902766	3572
4B_91963340	4B	143.7137331	3565	4B	91963340	3578
4B_233776023	4B	143.7137331	3566	4B	233776023	3660
4B_153619103	4B	146.1123465	3567	4B	153619103	3612
4B_235732696	4B	148.48311	3568	4B	235732696	3662
4B_242970719	4B	148.48311	3569	4B	242970719	3676
1A_87958466	4B	148.48311	3570	1A	87958466	169
4A_67119857	4B	148.48311	3571	4A	67119857	3115
4B_236041007	4B	148.48311	3572	4B	236041007	3664
4B_238555354	4B	148.48311	3573	4B	238555354	3671
2A_168159763	4B	148.48311	3574	2A	168159763	991
4B_236393102	4B	150.742589	3575	4B	236393102	3665
4B_238415990	4B	150.742589	3576	4B	238415990	3670
4B_255452427	4B	150.742589	3577	4B	255452427	3686
4B_237919001	4B	150.742589	3578	4B	237919001	3669
4B_239890866	4B	150.742589	3579	4B	239890866	3674
4B_237649238	4B	150.742589	3580	4B	237649238	3668
4B_238760585	4B	150.742589	3581	4B	238760585	3672
4B_90406536	4B	152.682025	3582	4B	90406536	3577
4B_69561144	4B	152.682025	3583	4B	69561144	3569
4B_39603231	4B	152.682025	3584	4B	39603231	3556
4B_58410152	4B	152.682025	3585	4B	58410152	3565
4B_262061030	4B	154.8143049	3586	4B	262061030	3692
4B_276212727	4B	154.8143049	3587	4B	276212727	3712
4B_211580389	4B	157.4312041	3588	4B	211580389	3648
4B_96546417	4B	157.4312041	3589	4B	96546417	3582
4B_158358210	4B	157.4312041	3590	4B	158358210	3614
1B_80815120	4B	157.4312041	3591	1B	80815120	525
4B_92202254	4B	157.4312041	3592	4B	92202254	3580
4B_149442700	4B	157.4312041	3593	4B	149442700	3609
4B_204553954	4B	157.4312041	3594	4B	204553954	3644
4B_128626743	4B	157.4312041	3595	4B	128626743	3599
4B_219026940	4B	157.4312041	3596	4B	219026940	3654
4B_109507093	4B	157.4312041	3597	4B	109507093	3587
4B_164508499	4B	157.4312041	3598	4B	164508499	3617
4B_205284705	4B	157.4312041	3599	4B	205284705	3646
3B_653129850	4B	157.4312041	3600	3B	653129850	2766
4B_229537430	4B	157.4312041	3601	4B	229537430	3658
4B_147050623	4B	157.4312041	3602	4B	147050623	3608
4B_165974597	4B	157.4312041	3603	4B	165974597	3619
1A_61839634	4B	157.4312041	3604	1A	61839634	152
4B_112896673	4B	157.4312041	3605	4B	112896673	3592
4B_235269359	4B	157.4312041	3606	4B	235269359	3661
4B_55402936	4B	157.4312041	3607	4B	55402936	3564
4B_201757487	4B	157.4312041	3608	4B	201757487	3643
4B_250324455	4B	157.4312041	3609	4B	250324455	3683
4B_233152192	4B	157.4312041	3610	4B	233152192	3659
4B_110396959	4B	157.4312041	3611	4B	110396959	3590
4B_115794970	4B	157.4312041	3612	4B	115794970	3594
4B_124815745	4B	157.4312041	3613	4B	124815745	3597
4B_38859423	4B	157.4312041	3614	4B	38859423	3555
4B_196114167	4B	157.4312041	3615	4B	196114167	3639
4B_197192676	4B	157.4312041	3616	4B	197192676	3640
4B_199860729	4B	157.4312041	3617	4B	199860729	3641
4B_236007167	4B	157.4312041	3618	4B	236007167	3663
4B_84993019	4B	157.4312041	3619	4B	84993019	3573
4B_64203811	4B	157.4312041	3620	4B	64203811	3568
4B_195093588	4B	157.4312041	3621	4B	195093588	3638
4B_122064060	4B	157.4312041	3622	4B	122064060	3596
4B_175802648	4B	157.4312041	3623	4B	175802648	3624
4B_215036004	4B	157.4312041	3624	4B	215036004	3652
4B_287117966	4B	160.3926881	3625	4B	287117966	3737
4A_71873886	4B	160.3926881	3626	4A	71873886	3118
4B_262059293	4B	162.526151	3627	4B	262059293	3691
4B_258259390	4B	165.5387624	3628	4B	258259390	3689
4B_253480120	4B	165.5387624	3629	4B	253480120	3685
4A_46962382	4B	165.5387624	3630	4A	46962382	3095
4B_249957380	4B	168.9821174	3631	4B	249957380	3682
4B_247336299	4B	171.8199847	3632	4B	247336299	3679
4B_259654592	4B	174.6090616	3633	4B	259654592	3690
4B_255849239	4B	174.6090616	3634	4B	255849239	3687
4B_251297163	4B	180.5289853	3635	4B	251297163	3684
4B_249136217	4B	180.5289853	3636	4B	249136217	3681
4B_257793474	4B	184.6370519	3637	4B	257793474	3688
4B_248371622	4B	187.6984741	3638	4B	248371622	3680
4B_274435008	4B	191.329249	3639	4B	274435008	3709
4B_283044705	4B	194.8117845	3640	4B	283044705	3726
4B_272665570	4B	194.8117845	3641	4B	272665570	3705
4B_286378794	4B	194.8117845	3642	4B	286378794	3735
4B_263221616	4B	194.8117845	3643	4B	263221616	3694
4B_236944657	4B	194.8117845	3644	4B	236944657	3666
4B_283790772	4B	194.8117845	3645	4B	283790772	3728
6A_171069410	4B	194.8117845	3646	6A	171069410	5157
4B_270163076	4B	194.8117845	3647	4B	270163076	3700
4B_287686338	4B	198.0255922	3648	4B	287686338	3738
4B_286422604	4B	199.7766135	3649	4B	286422604	3736
4B_270410833	4B	203.2577989	3650	4B	270410833	3701
7A_10996961	4B	203.2577989	3651	7A	10996961	5859
4B_267868441	4B	203.2577989	3652	4B	267868441	3695
4B_277933393	4B	203.2577989	3653	4B	277933393	3715
4B_291419786	4B	203.2577989	3654	4B	291419786	3740
6B_31632727	4B	203.2577989	3655	6B	31632727	5466
4B_273883942	4B	203.2577989	3656	4B	273883942	3707
5B_195403648	4B	203.2577989	3657	5B	195403648	4541
1B_51135587	4B	203.2577989	3658	1B	51135587	523
4B_281529437	4B	203.2577989	3659	4B	281529437	3722
7B_168354772	4B	203.2577989	3660	7B	168354772	6405
4B_263050645	4B	203.2577989	3661	4B	263050645	3693
4B_275027410	4B	203.2577989	3662	4B	275027410	3711
4B_268026305	4B	203.2577989	3663	4B	268026305	3696
4B_284860893	4B	203.2577989	3664	4B	284860893	3733
4B_280559615	4B	203.2577989	3665	4B	280559615	3719
4B_281202420	4B	203.2577989	3666	4B	281202420	3720
4B_288961159	4B	207.1183625	3667	4B	288961159	3739
4B_269767681	4B	207.1183625	3668	4B	269767681	3699
4B_293077926	4B	207.1183625	3669	4B	293077926	3745
4B_282750284	4B	207.1183625	3670	4B	282750284	3725
4B_276983747	4B	207.1183625	3671	4B	276983747	3713
4B_284567647	4B	207.1183625	3672	4B	284567647	3732
4B_293377370	4B	207.1183625	3673	4B	293377370	3747
4B_293315111	4B	207.1183625	3674	4B	293315111	3746
4B_273494145	4B	207.1183625	3675	4B	273494145	3706
4B_292845217	4B	207.1183625	3676	4B	292845217	3744
4B_277779381	4B	207.1183625	3677	4B	277779381	3714
4B_294411135	4B	207.1183625	3678	4B	294411135	3752
4B_297124656	4B	207.1183625	3679	4B	297124656	3758
4B_278399824	4B	207.1183625	3680	4B	278399824	3716
4B_292177592	4B	207.1183625	3681	4B	292177592	3741
4B_284041911	4B	207.1183625	3682	4B	284041911	3729
4B_282629880	4B	207.1183625	3683	4B	282629880	3723
4B_270768702	4B	210.7163494	3684	4B	270768702	3702
3B_73815397	4B	214.9173683	3685	3B	73815397	2416
4B_297807141	4B	214.9173683	3686	4B	297807141	3760
4B_297807053	4B	214.9173683	3687	4B	297807053	3759
4B_284404750	4B	218.0611394	3688	4B	284404750	3731
4B_278538462	4B	218.0611394	3689	4B	278538462	3717
4B_296279659	4B	220.0403748	3690	4B	296279659	3756
4B_285105038	4B	222.4086062	3691	4B	285105038	3734
4B_293836261	4B	222.4086062	3692	4B	293836261	3750
4B_299549101	4B	222.4086062	3693	4B	299549101	3764
4B_282693177	4B	222.4086062	3694	4B	282693177	3724
4B_293834207	4B	222.4086062	3695	4B	293834207	3749
3B_528807835	4B	226.0978357	3696	3B	528807835	2646
4B_268855228	4B	226.0978357	3697	4B	268855228	3698
4B_281280683	4B	226.0978357	3698	4B	281280683	3721
4B_295410635	4B	226.0978357	3699	4B	295410635	3753
4B_297884690	4B	229.605764	3700	4B	297884690	3761
4B_294009540	4B	229.605764	3701	4B	294009540	3751
4B_297887554	4B	229.605764	3702	4B	297887554	3762
4B_292755392	4B	229.605764	3703	4B	292755392	3743
4B_295750055	4B	229.605764	3704	4B	295750055	3755
4B_268854463	4B	229.605764	3705	4B	268854463	3697
4B_293434513	4B	229.605764	3706	4B	293434513	3748
4B_295569360	4B	229.605764	3707	4B	295569360	3754
4B_301578772	4B	231.91679	3708	4B	301578772	3770
4B_303335615	4B	234.9603502	3709	4B	303335615	3777
4B_292256527	4B	234.9603502	3710	4B	292256527	3742
4B_303335738	4B	234.9603502	3711	4B	303335738	3778
4B_283077522	4B	234.9603502	3712	4B	283077522	3727
4B_299494002	4B	237.5024033	3713	4B	299494002	3763
4B_303267381	4B	237.5024033	3714	4B	303267381	3776
4B_303012137	4B	237.5024033	3715	4B	303012137	3772
5A_131247428	4B	239.6043545	3716	5A	131247428	4180
4B_300993819	4B	239.6043545	3717	4B	300993819	3767
4B_303103970	4B	239.6043545	3718	4B	303103970	3774
4B_303256570	4B	239.6043545	3719	4B	303256570	3775
4B_303095029	4B	239.6043545	3720	4B	303095029	3773
4B_300368760	4B	239.6043545	3721	4B	300368760	3766
4B_302067578	4B	242.313032	3722	4B	302067578	3771
5A_134772691	4B	245.127901	3723	5A	134772691	4195
4B_297012222	4B	245.127901	3724	4B	297012222	3757
4B_303984542	4B	245.127901	3725	4B	303984542	3780
4B_303787104	4B	245.127901	3726	4B	303787104	3779
