CDS_name	CGI_begin	CGI_end	CGI_length	CGI_(G+C)_frequency	CGI_CpGo/e_ratio	CGI_start/no-start	dataset	CGI_start-score		
HSU47924.HBAP	3166	4607	1312	0.596037	0.643969	start	test	0.27421422
HSU47924.PE15	14211	15729	1489	0.655473	0.688934	no-start	train	0.39869005
HSU47924.PE15	5275	6280	 856	0.656542	0.637108	start	test	0.26267329
HSU50871.STM2	25139	26598	1194	0.653266	0.738395	start	train	0.41197958
HSU52111.ALD	43882	44742	 810	0.683951	0.527839	no-start	test	0.18597775
HSU52112.C1	19259	19842	 584	0.691781	0.592043	no-start	test	0.21950892
HSU52112.C1	3361	4270	 813	0.677737	0.564372	start	test	0.21027920
HSU52112.HCF1	29133	30184	1052	0.625475	0.613116	no-start	test	0.23913083
HSU52112.HCF1	38599	42277	3172	0.645019	0.851223	start	train	0.79054740
HSU52112.HCF1	50637	51311	 675	0.515556	0.602679	no-start	test	0.13287794
HSU52112.HCF1	56408	57207	 768	0.656250	0.562297	no-start	train	0.19049205
HSU52112.HCF1	57993	58671	 679	0.630339	0.521162	no-start	train	0.14148314
HSU52112.L1CAM	18182	19733	1436	0.717967	0.690332	no-start	train	0.45440071
HSU52112.TE2	6336	7536	1051	0.658421	0.711488	no-start	train	0.36594105
HSU52427.RPB-7	548	1528	 708	0.625706	0.649462	start	test	0.23418194
HSU53588.HCG-V	18437	19945	1509	0.531478	0.732137	no-start	train	0.33364656
HSU53588.HCG-V	24568	25669	1017	0.560472	0.601471	start	train	0.18283306
HSU53588.HCG-V	28806	30073	1268	0.604890	0.653736	no-start	test	0.28568141
HSU53588.HCG-V	32524	34151	1628	0.662162	0.647995	no-start	train	0.37771906
HSU56438.CYP1B1	1362	5921	4269	0.623799	0.821176	start	test	0.85163622
HSU59831.FREAC-4	1541	4600	3060	0.597257	0.892738	start	test	0.78061572
HSU63721.LIMK1	14574	15553	 714	0.707283	0.698939	start	train	0.35149754
HSU63834.PE2	5143	7856	2714	0.623803	0.791458	start	train	0.66425307
HSU65406.PE2	6029	6796	 768	0.527344	0.593183	no-start	train	0.13957396
HSU66711.9804	695	1778	 933	0.697749	0.627254	start	test	0.29578159
HSU70539.EXT1	503	2823	2161	0.559000	0.777014	start	test	0.50568812
HSU80017.SMN	9480	10334	 555	0.583784	0.931066	start	train	0.47881025
HSU80184.FLII	10962	12206	1095	0.643836	0.629514	no-start	train	0.27318583
HSU82671.HSP1-A	124502	125505	 854	0.584309	0.647617	no-start	train	0.21847026
HSU82671.HSP1-A	28146	29364	1172	0.650171	0.630281	no-start	test	0.28831922
HSU82671.HSP1-A	72085	73180	 864	0.658565	0.826661	no-start	test	0.47412148
HSU82671.HSP1-A	89405	90222	 668	0.577844	0.710386	no-start	train	0.24828216
HSU86758.NTN2L	2395	4347	1953	0.722597	0.601628	start	test	0.42892941
HSU91327.99D8.1	122418	123700	1133	0.576346	0.734263	start	train	0.32675214
HSU91327.99D8.1	7101	8299	1049	0.643470	0.708658	no-start	train	0.34865058
HSU91629.MYBP-C	15698	16581	 734	0.603542	0.538913	no-start	test	0.14270127
HSU92032.HLA-DQB	42499	43699	1201	0.602831	0.674989	no-start	test	0.29695704
HSU93237.MEN1	1154	2997	1563	0.617402	0.678543	start	train	0.36096239
HSU93305.LMO6	15128	16049	 834	0.636691	0.557669	no-start	test	0.18106705
HSU95742.551G9.1	16758	18809	1874	0.617396	0.868355	no-start	train	0.62947397
HSU95742.551G9.1	78509	79371	 713	0.671809	0.745734	no-start	train	0.37041075
HSUBA52G.UBA52	256	1563	1008	0.614087	0.899207	start	test	0.53800707
HSUNGGENE.PE2	13152	13851	 700	0.542857	0.601708	no-start	test	0.14738808
HSUPA.UPA	290	1442	1131	0.663130	0.659574	start	train	0.32432371
HSWRNG2.WRN	13666	14927	 984	0.584350	0.703504	start	train	0.28344508
HSY14768.BAT1	2572	3994	1273	0.545169	0.645344	no-start	test	0.23227789
HSY14768.LTB	7382	8710	1300	0.606154	0.695232	no-start	test	0.33360217
HSYB1.YB-1	1182	2249	 918	0.541394	0.833706	start	train	0.37488227
HUAC002044.PE1	133590	135605	1946	0.587873	0.627135	no-start	train	0.32918086
HUAC002044.PE1	136022	136544	 523	0.594646	0.607887	no-start	test	0.16508080
HUAC002044.PE1	2169	2672	 504	0.501984	0.601810	no-start	test	0.11545685
HUAC002044.PE1	25015	25590	 509	0.506876	0.594318	no-start	test	0.11409083
HUAC002044.PE1	28979	31204	2184	0.586996	0.680796	no-start	test	0.42185155
HUAC002044.PE1	31512	33357	1846	0.554171	0.565650	no-start	train	0.23069004
HUAC002044.PE1	36279	37282	 839	0.502980	0.791563	no-start	test	0.28556287
HUAC002044.PE1	45523	47164	1506	0.625498	0.727832	start	test	0.41722876
HUAC002301.PE2	4335	5356	 786	0.573791	0.634870	no-start	train	0.19481745
HUAC002301.PE2	9511	11227	1620	0.590741	0.769367	start	test	0.44855789
HUAC002302.PE2	77902	79860	1798	0.662959	0.735614	start	test	0.50699076
HUAC002310.PE2	57553	58681	1129	0.646590	0.586675	no-start	test	0.23973092
HUAC002310.PE2	59164	60978	1727	0.691372	0.725925	no-start	test	0.51348782
HUAC002310.PE2	65509	66468	 960	0.658333	0.586821	no-start	test	0.23038529
HUAC002310.PE2	67269	68584	1166	0.657804	0.739636	no-start	test	0.41385760
HUAC002310.PE2	6943	7896	 954	0.626834	0.565722	no-start	train	0.19170541
HUAC002310.PE2	88215	89384	1170	0.676068	0.661909	no-start	test	0.34360597
HUAC002310.PE2	90796	92190	1245	0.640161	0.760744	no-start	train	0.43276089
HUAC002310.PE2	94177	95134	 808	0.564356	0.690330	no-start	test	0.23573104
HUAC002394.PE1	45139	46962	1674	0.626643	0.639294	no-start	test	0.34127480
HUAC002425.PE2	19521	20620	 806	0.570720	1.159361	no-start	train	0.75284881
HUAC003108.PE2	1474	2644	1073	0.583411	0.704068	no-start	test	0.29405757
HUAC003108.PE2	32875	34400	1226	0.587276	0.691216	no-start	test	0.30332261
HUAC004125.PE1	10225	11385	1103	0.585675	0.614898	start	train	0.21762886
HUAC004125.PE1	116173	116900	 728	0.501374	0.637518	no-start	train	0.15015377
HUAC004381.PE2	2143	3245	 803	0.633873	0.837187	no-start	train	0.45295079
HUAC004381.PE4	6905	8375	1260	0.625397	0.748663	no-start	train	0.40618608
HUAC004382.PE7	1636	2641	 978	0.562372	0.789033	start	test	0.35280593
HUAC004531.PE1	61045	63079	1786	0.597984	0.802415	start	test	0.52019060
HUAF001549.PE1	29599	31587	1781	0.560921	0.693476	no-start	test	0.35475137
HUAF001549.PE1	45016	46227	1169	0.541488	0.735220	no-start	train	0.30197877
HUAF001549.PE2	54712	55531	 670	0.585075	0.619715	no-start	test	0.18014903
HUM17BHSDI.PE1	2585	3974	1124	0.637011	0.790510	no-start	train	0.44737772
HUMALIFA.LIF	298	1428	1007	0.639523	0.681985	start	test	0.31116760
HUMALPHA.ALPP	2464	3698	1103	0.650045	0.610199	no-start	test	0.26077029
HUMALPI.ALPI	2344	3534	1066	0.653846	0.607152	no-start	train	0.25668921
HUMALPI.ALPI	930	1436	 507	0.623274	0.590482	no-start	test	0.16816301
HUMBMYH7.MYH7	18864	19816	 953	0.556139	0.548955	no-start	train	0.14107510
HUMBRCA1.BRCA1	1942	3855	1653	0.537205	0.670891	start	test	0.29337112
HUMBRCA1.VATI	2611	3891	1061	0.623940	0.746357	start	test	0.37408473
HUMCAIIA06.CA2	228	2408	1807	0.625899	0.853291	start	test	0.61108291
HUMCATD5.CTSD	319	1434	 966	0.716356	0.718300	start	train	0.41753574
HUMCD19A.CD19	5620	6655	 913	0.636364	0.599577	no-start	train	0.22076631
HUMCOL7A1X.PE1	3391	4599	1209	0.654260	0.606023	start	test	0.27244145
HUMDMKIN.PE5	4245	5297	1053	0.616334	0.591030	no-start	test	0.21408105
HUMDMKIN.PE5	6328	7038	 711	0.639944	0.563566	no-start	train	0.17647704
HUMDSITE2.DBP	1777	3908	2132	0.619980	0.596088	no-start	test	0.34937299
HUMEDN1B.EDN1	3173	4110	 938	0.486141	0.704055	start	test	0.20601310
HUMEDN1B.EDN1	751	1454	 578	0.574394	0.492735	no-start	test	0.09740458
HUMFLNG6PD.GDI	22642	23697	 877	0.672748	0.736508	no-start	train	0.38366549
HUMFLNG6PD.GDI	38020	39233	1090	0.688073	0.664364	no-start	train	0.34653977
HUMGCAPB.GCAP	1813	2656	 569	0.592267	0.553781	no-start	train	0.13416766
HUMGLPEX.GPX1	1445	3096	1580	0.620253	0.684407	start	train	0.37255732
HUMGLUT4B.GLUT4	508	2752	2245	0.624499	0.659425	start	train	0.44260060
HUMGSTP1G.GSTP1	665	1980	1166	0.696398	0.701385	start	test	0.40690939
HUMHCF2.HCF2	6863	7521	 659	0.506829	0.616154	no-start	test	0.13523662
HUMHMGIC03.PE1	1370	4401	2602	0.646426	0.787921	start	test	0.66603571
HUMHSLA.LIPE	579	1748	1170	0.640171	0.600781	no-start	train	0.25205682
HUMIGFBP1.IGFBP1	745	2077	1270	0.618110	0.693421	start	test	0.33846889
HUMIMPDH.IMPDH2	530	1516	 987	0.557244	0.735156	start	train	0.29268727
HUMIRBPG4.RBP3	1398	2268	 871	0.661309	0.568600	no-start	train	0.20835541
HUMKRT1X.KRT1	4081	5022	 942	0.549894	0.560372	no-start	train	0.14393161
HUMLACFE.PE1	2411	3091	 681	0.578561	0.582006	start	test	0.15221913
HUMLYL1B.LYL1	271	994	 690	0.711594	0.550349	start	train	0.20965815
HUMMHRP1B.RP1	1603	3104	1502	0.596538	0.688991	start	test	0.34496693
HUMMKXX.MK	157	2159	1722	0.686992	0.649490	start	test	0.41680321
HUMMYCL2A.MYCL2	776	1793	 868	0.605991	0.740432	start	train	0.32512511
HUMODC1A.ODC1	145	2491	2006	0.617647	0.816788	start	train	0.58907197
HUMPBGDA.PBGD	614	1795	1006	0.586481	0.661659	start	test	0.24826197
HUMPCBD.PCBD	4287	5342	 885	0.673446	0.670432	start	test	0.31310994
HUMPEM.PEM	133	2273	1835	0.624523	0.706546	no-start	train	0.43882815
HUMPGAMM2.PGAM2	1742	2295	 554	0.615523	0.558545	start	test	0.14723558
HUMPTS.PTS	294	1544	1054	0.595825	0.744411	start	test	0.34480395
HUMSMPD1G.SMPD1	123	1484	1341	0.610738	0.735899	start	test	0.38872621
HUMSPERSYN.SRM	478	2373	1696	0.642099	0.748659	start	test	0.48654742
HUMSRYZ.SRY	3049	3706	 658	0.495441	0.743979	no-start	train	0.21676169
HUMTDGF1A.TDGF1	1056	1811	 756	0.535714	0.632107	no-start	train	0.16741079
HUMTPA.PLAT	14274	15040	 683	0.519766	0.558445	no-start	train	0.11228136
HUMTPA.PLAT	30955	31734	 780	0.593590	0.575744	no-start	test	0.16409030
HUMTRPM2A4.PE1	906	2156	1154	0.580589	0.576095	start	test	0.18888013
HUMYWXD703.ANT-2	105444	106660	1067	0.651359	0.709111	no-start	train	0.35888159
HUMYWXD703.ANT-2	23320	24965	1496	0.651070	0.757187	start	train	0.47629292
HUMYWXD703.ANT-2	37631	38587	 807	0.591078	0.670408	no-start	train	0.23775909
HUU91326.PE1	45211	46288	 928	0.593750	0.790965	start	test	0.37750287
HUU91326.PE1	80592	81746	 808	0.709158	0.795157	no-start	test	0.47891034
HUU91326.PE1	83755	84930	 969	0.679051	0.725675	no-start	test	0.39023337
HUU95737.PE1	60650	61181	 532	0.511278	0.575758	no-start	train	0.10833729
HUU95737.PE1	62590	63329	 740	0.474324	0.600883	no-start	train	0.11788518
U82668.SHOX	31999	34102	2017	0.639068	0.622000	no-start	test	0.38045505
U82668.SHOX	36011	37498	1200	0.613333	0.692820	no-start	test	0.32435438
U82668.SHOX	42161	45654	3494	0.627536	0.815582	start	test	0.78180817
U82668.SHOX	46418	48799	2245	0.564365	0.705004	no-start	test	0.43693891
U82668.SHOX	54444	55380	 937	0.654216	0.598936	no-start	test	0.23543059
U82668.SHOX	56464	58429	1791	0.615299	0.691209	no-start	test	0.40531302
U82668.SHOX	61040	62759	1542	0.515564	0.627371	no-start	train	0.22398865
U82668.SHOX	73759	74415	 507	0.499014	0.697038	no-start	test	0.16988705
